Taster,Serving 1,Serving 2,Serving 3,Serving 4,Serving 5
Taster 01,169,733,390,772,827
Taster 02,390,827,480,462,287
Taster 03,462,200,287,390,169
Taster 04,733,949,480,462,200
Taster 05,462,827,480,169,949
Taster 06,733,480,287,390,772
Taster 07,772,169,287,949,733
Taster 08,772,169,462,827,949
Taster 09,733,287,827,169,480
Taster 10,949,480,827,733,287
Taster 11,200,827,462,480,772
Taster 12,200,462,949,827,733
Taster 13,287,827,390,462,772
Taster 14,733,200,462,287,169
Taster 15,169,200,772,480,733
Taster 16,772,200,287,169,827
Taster 17,772,949,462,287,733
Taster 18,287,949,169,390,462
Taster 19,827,390,200,949,733
Taster 20,390,733,462,200,772
Taster 21,169,390,949,200,480
Taster 22,480,949,169,390,772
Taster 23,390,200,287,949,827
Taster 24,287,480,772,200,949
Taster 25,733,169,480,462,390
