Taster ID,Serving 1 Code,Serving 1 Score,Serving 2 Code,Serving 2 Score,Serving 3 Code,Serving 3 Score,Serving 4 Code,Serving 4 Score
Taster 01,758,6,628,7,411,9,312,9
Taster 02,635,9,628,9,811,8,411,9
Taster 03,811,7,312,7,628,5,411,7
Taster 04,628,3,411,7,811,4,758,1
Taster 05,811,4,635,6,758,3,312,4
Taster 06,758,6,811,6,312,6,411,9
Taster 07,411,9,758,5,628,6,312,7
Taster 08,628,6,758,5,635,6,312,7
Taster 09,635,5,312,4,811,5,628,4
Taster 10,628,7,411,8,758,5,635,7
Taster 11,312,7,635,5,811,6,411,8
Taster 12,411,9,635,9,628,9,811,7
Taster 13,312,3,635,6,758,2,811,5
Taster 14,758,4,628,7,635,7,811,7
Taster 15,312,8,411,8,628,8,635,6
Taster 16,312,4,811,3,628,2,758,1
Taster 17,758,4,628,5,635,5,312,3
Taster 18,758,3,411,9,312,8,635,8
Taster 19,411,9,758,7,635,7,312,8
Taster 20,635,7,811,6,758,5,411,9
Taster 21,635,9,758,6,411,9,811,7
Taster 22,411,9,312,8,811,7,758,5
Taster 23,758,4,628,5,811,8,312,8
Taster 24,628,7,312,6,411,9,635,6
Taster 25,411,9,635,8,758,6,628,6
Taster 26,811,8,411,9,758,5,628,8
Taster 27,811,7,635,5,312,7,628,8
Taster 28,635,4,811,4,758,3,628,3
Taster 29,312,6,635,6,411,9,811,8
Taster 30,411,8,312,6,628,5,811,6
