Taster ID,Serving 1 Code,Serving 1 Score,Serving 2 Code,Serving 2 Score,Serving 3 Code,Serving 3 Score,Serving 4 Code,Serving 4 Score,Serving 5 Code,Serving 5 Score
Taster 01,115,7,227,6,339,8,441,5,553,9
Taster 02,665,5,778,7,880,6,992,8,104,4
Taster 03,216,8,115,6,339,7,553,5,778,9
Taster 04,227,4,441,6,665,8,880,7,216,5
Taster 05,992,7,104,8,115,5,227,6,441,9
Taster 06,339,6,553,4,778,8,880,5,992,7
Taster 07,104,5,216,9,665,7,115,8,339,6
Taster 08,227,8,441,5,553,7,778,6,880,9
Taster 09,992,6,104,4,216,7,665,8,115,5
Taster 10,339,9,227,7,441,6,553,8,778,5
Taster 11,880,7,992,8,104,5,216,6,665,9
Taster 12,115,4,339,6,227,8,553,7,441,5
Taster 13,778,8,880,6,992,5,104,7,216,9
Taster 14,665,6,115,8,339,5,227,7,553,4
Taster 15,441,9,778,5,880,7,992,6,104,8
Taster 16,216,5,665,7,115,9,227,6,339,8
Taster 17,553,6,441,8,778,4,880,5,992,7
Taster 18,104,7,216,6,665,8,115,5,227,9
Taster 19,339,8,553,5,441,7,778,6,880,4
Taster 20,992,5,104,9,216,8,665,6,115,7
Taster 21,227,6,339,4,553,8,441,7,778,9
Taster 22,880,8,992,6,104,5,216,7,665,5
Taster 23,115,9,227,5,339,7,553,6,441,8
Taster 24,778,7,880,9,992,4,104,6,216,8
Taster 25,665,5,115,7,227,8,339,6,553,9
Taster 26,441,6,778,5,880,8,992,7,104,4
Taster 27,216,9,665,6,115,8,227,5,339,7
